,index,artist,Unnamed: 0,artist_id,year,unique_length,num,avg
206,206,Luis Fonsi & Daddy Yankee,597,414,4035,306,2,153.0
207,207,Luis Fonsi & Demi Lovato,300,208,2018,63,1,63.0
208,208,Lukas Graham,301,209,2016,135,1,135.0
209,209,MKTO,302,210,2014,70,1,70.0
210,210,Machine Gun Kelly & Camila Cabello,303,211,2017,49,1,49.0
211,211,Macklemore & Ryan Lewis,304,212,2015,146,1,146.0
212,212,Macklemore & Skylar Grey,305,213,2017,73,1,73.0
213,213,Magic!,306,214,2014,31,1,31.0
214,214,Major Lazer & DJ Snake,615,430,4031,26,2,13.0
215,215,"Major Lazer, Justin Bieber & MO",309,216,2016,21,1,21.0
216,216,"Major Lazer, Nyla & Fuse ODG",310,217,2016,28,1,28.0
217,217,Mark Forster & Sido,311,218,2014,132,1,132.0
218,218,Mark Ronson & Bruno Mars,312,219,2015,56,1,56.0
219,219,Maroon 5,1575,1100,10076,142,5,28.4
220,220,Maroon 5 & Cardi B,318,221,2018,25,1,25.0
221,221,Maroon 5 & Future,319,222,2017,45,1,45.0
222,222,Maroon 5 & Kendrick Lamar,641,446,4033,258,2,129.0
223,223,Maroon 5 & SZA,322,224,2017,26,1,26.0
224,224,Marshmello & Anne-Marie,323,225,2018,26,1,26.0
225,225,Marshmello & Bastille,324,226,2018,23,1,23.0
226,226,Marshmello & Khalid,325,227,2017,21,1,21.0
227,227,Martin Garrix,326,228,2014,2,1,2.0
228,228,Martin Garrix & Bebe Rexha,327,229,2016,22,1,22.0
229,229,Martin Garrix & Dua Lipa,328,230,2017,26,1,26.0
230,230,Matt Simons,329,231,2016,26,1,26.0
231,231,Meghan Trainor,1995,1392,12091,206,6,34.333333333333336
232,232,Meghan Trainor & John Legend,336,233,2015,34,1,34.0
233,233,Michael Jackson & Justin Timberlake,337,234,2014,5,1,5.0
234,234,Migos,677,470,4035,228,2,114.0
235,235,Migos & Drake,340,236,2018,139,1,139.0
236,236,Migos & Lil Uzi Vert,341,237,2017,199,1,199.0
237,237,"Migos, Nicki Minaj & Cardi B",342,238,2018,214,1,214.0
238,238,Mike Perry & Shy Martin,343,239,2016,11,1,11.0
239,239,Mike Posner,344,240,2016,52,1,52.0
240,240,Miley Cyrus,691,482,4031,54,2,27.0
241,241,Milky Chance,347,242,2014,23,1,23.0
242,242,Mr Probz,348,243,2014,12,1,12.0
243,243,NF,349,244,2018,65,1,65.0
244,244,Natalie La Rose & Jeremih,350,245,2015,21,1,21.0
245,245,Naughty Boy & Sam Smith,351,246,2014,30,1,30.0
246,246,Niall Horan,352,247,2017,17,1,17.0
247,247,Nick Jonas,353,248,2015,29,1,29.0
248,248,Nick Jonas & Tove Lo,354,249,2016,31,1,31.0
249,249,Nicki Minaj,355,250,2014,89,1,89.0
250,250,Nicky Jam & Enrique Iglesias,356,251,2015,49,1,49.0
251,251,Nicky Jam & J Balvin,357,252,2018,87,1,87.0
252,252,Nico & Vinz,358,253,2014,22,1,22.0
253,253,OMI,359,254,2015,52,1,52.0
254,254,Offset & Metro Boomin,360,255,2018,109,1,109.0
255,255,Omarion & Chris Brown & Jhene Aiko,361,256,2015,71,1,71.0
256,256,One Direction,725,514,4029,36,2,18.0
257,257,OneRepublic,729,516,4028,59,2,29.5
258,258,Panic! At the Disco,366,259,2018,38,1,38.0
259,259,Paramore,367,260,2014,20,1,20.0
260,260,Passenger,368,261,2014,20,1,20.0
261,261,Pharrell Williams,369,262,2014,17,1,17.0
262,262,Pink,741,526,4033,56,2,28.0
263,263,Pitbull & John Ryan,372,264,2014,44,1,44.0
264,264,Pitbull & Ke$ha,373,265,2014,40,1,40.0
265,265,Pitbull & Ne-Yo,374,266,2015,60,1,60.0
266,266,"Portugal, The Man",751,534,4035,70,2,35.0
267,267,Post Malone,755,536,4036,87,2,43.5
268,268,Post Malone & 21 Savage,759,538,4035,186,2,93.0
269,269,Post Malone & Quavo,381,270,2017,72,1,72.0
270,270,Post Malone & Ty Dolla Sign,382,271,2018,88,1,88.0
271,271,R City & Adam Levine,383,272,2015,28,1,28.0
272,272,Rachel Platten,384,273,2015,225,1,225.0
273,273,Rae Sremmurd,385,274,2017,57,1,57.0
274,274,Rae Sremmurd & Gucci Mane,773,550,4033,200,2,100.0
275,275,Rag'n'Bone Man,1167,828,6050,82,3,27.333333333333332
